"","Species","Records","Min_CH_Ha","Max_CH_Ha","Full_CH_Ha","Median_CH_Ha"
"55","Asclepias viridiflora",864,595045688.049975,631790464.408371,6313877379.95701,631387737.995701
"56","Asplenium adiantum-nigrum",14,253559540.204047,255077428.646485,2550774286.46485,255077428.646485
"57","Asplenium resiliens",383,1796481516.33505,1910739685.43101,19064099398.5621,1906404746.1912
"58","Astragalus anisus",8,NA,NA,2364325.98778494,NA
"59","Astragalus asclepiadoides",52,6736842.22201283,7163022.98607736,71695920.7648844,7068332.89451803
"60","Astragalus cerussatus",17,859729.698462385,1450212.05337555,14506009.7031145,1430533.50790328
"61","Astragalus chloodes",15,134044.255492461,620008.523981382,6200088.03896817,608473.402841936
"62","Astragalus desperatus",179,14031294.5878149,21040107.7425015,210401077.425015,20987551.2333254
"63","Astragalus deterior",5,NA,NA,11712.9844282761,NA
"64","Astragalus detritalis",31,1462339.74219434,1589059.51085332,15919584.167903,1531548.2438164
"65","Astragalus drummondii",307,149765421.923278,186498282.920761,1864982829.20761,186311367.882708
"66","Astragalus duchesnensis",63,743313.310405128,755254.691860068,7552546.91860068,755254.642705761
"67","Astragalus jejunus",43,13138715.4783969,15510708.0279596,155107080.279596,15424512.3342725
"68","Astragalus microcymbus",1,NA,NA,0,NA
"69","Astragalus oocalycis",29,308046.067231322,369640.782630752,3706723.92265813,361809.909666136
"70","Astragalus spatulatus",375,87557613.7121762,109983661.193716,1100145030.05067,109784977.524983
"71","Astragalus tenellus",552,527030621.304941,563994657.070126,5466936874.61197,545041506.582095
"72","Atriplex canescens",4001,483229467.406967,580001361.904256,5800013619.04256,579578106.483466
"73","Atriplex confertifolia",4253,233717559.315733,236950289.109723,2369502891.09723,236950289.109723
"74","Atriplex gardneri",471,213995750.617433,219113005.602088,2191130056.02088,219008608.200699
"75","Azolla mexicana",43,8318379.26092415,16897288.8224414,168972888.224414,16897288.8224414
"76","Barbarea orthoceras",1345,1832324065.76364,1877132037.22743,18765485591.9202,1876509385.89383
"77","Bassia americana",6,NA,NA,193004546.584437,NA
"78","Bidens tenuisecta",105,74080618.1678858,78500782.6137235,785028481.12221,78449243.7416946
"79","Bidens vulgata",584,693606484.542428,798913004.376968,7989130043.76968,798629185.734455
"80","Botrychium echo",54,19388123.7378007,20212450.9676301,202124509.676301,20212450.9676301
"81","Botrychium pallidum",45,394352063.917959,439233384.779075,4392335701.92967,435133099.025993
"82","Botrychium paradoxum",9,NA,NA,640134594.36446,NA
"83","Brickellia brachyphylla",130,40667013.4322014,45168251.5861151,451682515.861151,45031309.1277941
"84","Brickellia eupatorioides",1145,700359753.85588,765818131.779324,7591102473.92611,755992250.020112
"85","Bromus carinatus",2990,772199920.346532,784936995.334354,7849369953.34354,784823507.415279
"86","Bromus lanatipes",226,73661084.433109,77365335.5377034,773653359.605909,77310812.0963308
"87","Bromus polyanthus",125,201328552.745097,238391016.541875,2371725714.62513,235592129.334387
"88","Calamagrostis rubescens",3660,250944160.290042,342061163.617684,3420612241.80343,338421880.345429
"89","Calamagrostis stricta",1521,7885407302.83056,9714490553.23501,94739728438.7287,9471388426.61102
"90","Calamovilfa gigantea",78,57171404.36779,76369115.0923881,763691150.923881,76183809.2976732
"91","Callirhoe involucrata",525,335522158.164619,363329702.311672,3624934898.92306,361996636.948932
"92","Calochortus nuttallii",307,152282935.752081,164012860.211041,1637666106.69677,163700477.227082
"93","Caltha leptosepala",1457,475497150.093038,486510615.5517,4865106155.517,485761093.22259
"94","Calylophus hartwegii",275,158202965.55627,178905642.802679,1789056428.02679,178809165.131496
"95","Calylophus lavandulifolius",43,31900633.5610405,35161997.0579435,351619970.579435,34676516.9136551
"96","Camissonia minor",62,52367631.0012122,67842850.6200658,678428506.200658,67620263.087415
"97","Camissonia walkeri",127,36331751.3218347,43242956.6652376,432429737.906137,43066769.5112298
"98","Campanula aparinoides",940,462050092.717398,495517922.539371,4955179225.39371,495517922.539371
"99","Campanula uniflora",396,1663936681.59164,1902486511.19621,18846686982.8179,1884251504.87996
"100","Cardamine oligosperma",876,632522891.680237,785162620.14537,7815953901.14811,780218597.384849
"101","Carex atherodes",641,953195290.882045,979304627.928886,9793046279.28886,973338188.705373
"102","Carex brevior",1260,771180651.219597,869565086.090516,8695635277.50032,869555684.845365
"103","Carex brunnescens",2388,1404402182.92292,1462998508.81758,14629980743.3054,1460587606.23714
"104","Carex buxbaumii",983,1330555240.94603,1482753992.45081,14827539924.5081,1482753992.45081
"105","Carex crawfordii",1227,944777595.073402,1133687866.37535,9731066529.90629,973075450.231715
