"National_USDASymbol","National_SciName_noAuthority","Ack_SciName_noAuthority","National_NativeStatus","Invasive","CONox_Status","Invasiveness","IRank","IRank_Score"
"IBAM","Iberis amara","Iberis amara","Introduced",FALSE,NA,NA,NA,NA
"IPPU2","Ipomoea purpurea","Ipomoea purpurea","Introduced",TRUE,NA,NA,"Medium/Low",4
"IRPS","Iris pseudacorus","Iris pseudacorus","Introduced",TRUE,"Watch List",NA,NA,NA
"ISTI","Isatis tinctoria","Isatis tinctoria","Introduced",TRUE,"List A",4,"High/Low",7
"JUAR2","Juncus arcticus","Juncus arcticus","Both",FALSE,NA,NA,NA,NA
"JUCO","Juncus compressus","Juncus compressus","Introduced",TRUE,NA,3,NA,NA
"KNAR","Knautia arvensis","Knautia arvensis","Introduced",FALSE,NA,NA,NA,NA
"BASC5","Bassia scoparia","Kochia scoparia","Introduced",TRUE,NA,4,"Low",3
"LASA","Lactuca saligna","Lactuca saligna","Introduced",FALSE,NA,NA,NA,NA
"LASE","Lactuca serriola","Lactuca serriola","Introduced",TRUE,NA,3,"Low/Insignificant",2
"LAAM","Lamium amplexicaule","Lamium amplexicaule","Introduced",TRUE,NA,3,NA,NA
"LAMA","Lamium maculatum","Lamium maculatum","Introduced",FALSE,NA,NA,NA,NA
"LAPU2","Lamium purpureum","Lamium purpureum","Introduced",TRUE,NA,2,NA,NA
"LASQ","Lappula squarrosa","Lappula squarrosa","Introduced",FALSE,NA,NA,NA,NA
"LACO3","Lapsana communis","Lapsana communis","Introduced",FALSE,NA,NA,NA,NA
"LALA4","Lathyrus latifolius","Lathyrus latifolius","Introduced",TRUE,NA,3,NA,NA
"LASY","Lathyrus sylvestris","Lathyrus sylvestris","Introduced",FALSE,NA,NA,NA,NA
"LECA2","Leonurus cardiaca","Leonurus cardiaca","Introduced",FALSE,NA,NA,NA,NA
"CAPU6","Cardaria pubescens","Lepidium appelianum","Introduced",TRUE,NA,4,NA,NA
"LECA5","Lepidium campestre","Lepidium campestre","Introduced",TRUE,NA,3,NA,NA
"CACH42","Cardaria chalepensis","Lepidium chalapensis","Introduced",TRUE,NA,4,NA,NA
"LEDE","Lepidium densiflorum","Lepidium densiflorum","Both",TRUE,NA,3,NA,NA
"CADR","Cardaria draba","Lepidium draba","Introduced",TRUE,"List B",4,NA,NA
"LEHE2","Lepidium heterophyllum","Lepidium heterophyllum","Introduced",FALSE,NA,NA,NA,NA
"LELA2","Lepidium latifolium","Lepidium latifolium","Introduced",TRUE,"List B",4,"High",9
"LEPE2","Lepidium perfoliatum","Lepidium perfoliatum","Introduced",TRUE,NA,4,"Low/Insignificant",2
"LEMA8","Leucanthemum maximum","Leucanthemum maximum","Introduced",TRUE,NA,2,NA,NA
"LEVU","Leucanthemum vulgare","Leucanthemum vulgare","Introduced",TRUE,"List B",4,"Medium/Low",4
"LERA5","Leymus racemosus","Leymus racemosus","Introduced",FALSE,NA,NA,NA,NA
"LIVU","Ligustrum vulgare","Ligustrum vulgare","Introduced",FALSE,NA,NA,NA,NA
"LIDA","Linaria dalmatica","Linaria dalmatica","Introduced",TRUE,"List B",4,NA,NA
"LIVU2","Linaria vulgaris","Linaria vulgaris","Introduced",TRUE,"List B",4,"High/Low",7
"LIPE2","Linum perenne","Linum perenne","Introduced",FALSE,NA,NA,NA,NA
"BUAR3","Buglossoides arvensis","Lithospermum arvense","Introduced",TRUE,NA,3,NA,NA
"LOMA","Lobularia maritima","Lobularia maritima","Introduced",TRUE,NA,1,NA,NA
"LOPEM2","Lolium perenne ssp. multiflorum","Lolium multiflorum","Introduced",FALSE,NA,NA,NA,NA
"LOPEP","Lolium perenne ssp. perenne","Lolium perenne","Introduced",TRUE,NA,3,"Medium",6
"LOMO2","Lonicera morrowii","Lonicera morrowii","Introduced",TRUE,NA,2,"High/Medium",8
"LOTA","Lonicera tatarica","Lonicera tatarica","Introduced",TRUE,NA,2,"High/Medium",8
"LOCO6","Lotus corniculatus","Lotus corniculatus","Introduced",FALSE,NA,NA,NA,NA
"LOTE4","Lotus tenuis","Lotus tenuis","Introduced",TRUE,NA,3,"Medium/Low",4
"LUAN","Lunaria annua","Lunaria annua","Introduced",FALSE,NA,NA,NA,NA
"LYBA4","Lycium barbarum","Lycium barbarum","Introduced",TRUE,NA,3,NA,NA
"LYNU","Lysimachia nummularia","Lysimachia nummularia","Introduced",TRUE,NA,NA,"Medium/Low",4
"LYVU","Lysimachia vulgaris",NA,"Introduced",TRUE,"Watch List",NA,NA,NA
"LYSA2","Lythrum salicaria","Lythrum salicaria","Introduced",TRUE,"List A",4,"High",9
"MAPU","Malus pumila","Malus pumila","Introduced",TRUE,NA,2,"Medium/Insignificant",5
"MANE","Malva neglecta","Malva neglecta","Introduced",TRUE,NA,4,"Medium/Insignificant",5
"MAPA5","Malva parviflora","Malva parviflora","Introduced",TRUE,NA,NA,"Medium/Insignificant",5
"MAPU5","Malva pusilla","Malva pusilla","Introduced",FALSE,NA,NA,NA,NA
"MASY","Malva sylvestris","Malva sylvestris","Introduced",FALSE,NA,NA,NA,NA
"MAVE","Malva verticillata","Malva verticillata","Introduced",FALSE,NA,NA,NA,NA
"MAVU","Marrubium vulgare","Marrubium vulgare","Introduced",TRUE,NA,3,"Medium/Low",4
