MAJORGROUP,SELEMENTID,GNAME,SNAME,SCOMNAME,GRANK,SRANK,ENDEMIC,USESA,COSTATUS,OTHERSTATUS,CNHPSENS,AQDEP,TRACK
Natural Communities,364582,"Artemisia tridentata (ssp. tridentata, ssp. xericensis) / Pseudoroegneria spicata Shrub Grassland","Artemisia tridentata (ssp. tridentata, ssp. xericensis)  /  Pseudoroegneria spicata Shrub Grassland",-,G1,SNR,N,-,-,-,N,N,Fully Tracked
Natural Communities,40638,Artemisia tridentata ssp. tridentata / Hesperostipa comata Shrubland,Artemisia tridentata ssp. tridentata  /  Hesperostipa comata Shrubland,Western Slope Sagebrush Shrubland,G4?,S1,N,-,-,-,N,N,Fully Tracked
Natural Communities,24677,Artemisia tridentata ssp. tridentata / Leymus cinereus Shrubland,Artemisia tridentata ssp. tridentata  /  Leymus cinereus Shrubland,Sagebrush Bottomland Shrublands,G2,S2,N,-,-,-,N,N,Fully Tracked
Natural Communities,24612,Artemisia tridentata ssp. tridentata / Pascopyrum smithii - (Elymus lanceolatus) Shrubland,Artemisia tridentata ssp. tridentata  /  Pascopyrum smithii  -  (Elymus lanceolatus) Shrubland,Sagebrush Bottomland Shrublands,G3?,S2,N,-,-,-,N,N,Fully Tracked
Natural Communities,364498,Artemisia tridentata ssp. tridentata / Pleuraphis jamesii Shrubland,Artemisia tridentata ssp. tridentata  /  Pleuraphis jamesii Shrubland,-,G2G4,S2S4,N,-,-,-,N,N,Fully Tracked
Natural Communities,364709,Artemisia tridentata ssp. tridentata / Sporobolus airoides Shrubland,Artemisia tridentata ssp. tridentata  /  Sporobolus airoides Shrubland,-,GNR,S3S4,N,-,-,-,N,N,Fully Tracked
Natural Communities,364694,Artemisia tridentata ssp. vaseyana - (Purshia tridentata) / Muhlenbergia montana - (Hesperostipa comata ssp. comata) Shrubland,Artemisia tridentata ssp. vaseyana  -  (Purshia tridentata)  /  Muhlenbergia montana  -  (Hesperostipa comata ssp. comata) Shrubland,-,GNR,S4S5,N,-,-,-,N,N,Partial Tracking
Natural Communities,364758,Artemisia tridentata ssp. vaseyana - Holodiscus dumosus Shrubland,Artemisia tridentata ssp. vaseyana  -  Holodiscus dumosus Shrubland,-,GNR,S2S3,N,-,-,-,N,N,Fully Tracked
Natural Communities,24622,Artemisia tridentata ssp. vaseyana - Symphoricarpos oreophilus / Elymus trachycaulus ssp. trachycaulus Shrubland,Artemisia tridentata ssp. vaseyana  -  Symphoricarpos oreophilus  /  Elymus trachycaulus ssp. trachycaulus Shrubland,West Slope Sagebrush Shrubland,G3G4,S1,N,-,-,-,N,N,Fully Tracked
Natural Communities,364768,Artemisia tridentata ssp. vaseyana / Achnatherum lettermanii Shrubland,Artemisia tridentata ssp. vaseyana  /  Achnatherum lettermanii Shrubland,-,GNR,S4S5,N,-,-,-,N,N,Partial Tracking
Natural Communities,364757,Artemisia tridentata ssp. vaseyana / Achnatherum pinetorum Shrubland,Artemisia tridentata ssp. vaseyana  /  Achnatherum pinetorum Shrubland,-,GNR,S2,N,-,-,-,N,N,Fully Tracked
Natural Communities,24875,Artemisia tridentata ssp. vaseyana / Balsamorhiza sagittata Shrubland,Artemisia tridentata ssp. vaseyana  /  Balsamorhiza sagittata Shrubland,Western Slope Sagebrush Shrublands,GNR,SU,N,-,-,-,N,N,Fully Tracked
Natural Communities,24904,Artemisia tridentata ssp. vaseyana / Carex geyeri Shrub Grassland,Artemisia tridentata ssp. vaseyana  /  Carex geyeri Shrub Grassland,West Slope Sagebrush Shrubland,G3,SU,N,-,-,-,N,N,Fully Tracked
Natural Communities,24935,Artemisia tridentata ssp. vaseyana / Festuca idahoensis Shrub Grassland,Artemisia tridentata ssp. vaseyana  /  Festuca idahoensis Shrub Grassland,Western Slope Sagebrush Shrublands,G5,SU,N,-,-,-,N,N,Fully Tracked
Natural Communities,24818,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Artemisia tridentata ssp. vaseyana  /  Festuca thurberi Shrubland,Western Slope Sagebrush Shrublands,G3G4,S1S2,N,-,-,-,N,N,Fully Tracked
