"","Species","Records","Min_CH_Ha","Max_CH_Ha","Full_CH_Ha","Median_CH_Ha"
"51","Balsamorhiza sagittata",2099,262791754.890019,320656442.094575,3206564518.52237,320114690.901523
"52","Berberis fendleri",110,7103996.73800837,11027869.5949296,110278695.949296,11002603.807155
"53","Bolboschoenus fluviatilis",107,277443861.124383,300841506.855456,3008415068.55456,300840570.458561
"54","Bouteloua barbata",1907,2221726637.03883,2231662954.51416,22316629545.1416,2231662954.51416
"55","Bouteloua curtipendula",4621,3069456012.41973,3218715508.77087,32174332774.6177,3186916391.75758
"56","Bouteloua eriopoda",1071,161098975.696096,175533959.012119,1755339590.12119,175416582.596025
"57","Bouteloua gracilis",7596,920157489.246732,932563920.063321,9325639200.63321,932563920.063321
"58","Bromus ciliatus",2762,1634393044.86811,1755015456.02238,17392717211.1088,1739271721.11088
"59","Bromus porteri",525,671552427.951527,728304104.380626,7283041043.80626,723042024.446077
"60","Buglossoides arvensis",1,NA,NA,0,NA
"61","Calochortus flexuosus",186,55276817.424533,61184310.6510353,611843106.510353,60878482.2196508
"62","Camissonia eastwoodiae",37,2335234.64476356,3387975.44490042,33881431.9329016,3360909.1134437
"63","Camissonia scapoidea",136,54186917.2821873,71921238.0743658,719212380.743658,70586595.9160966
"64","Campanula rotundifolia",3784,1350135048.55629,1491816918.79668,14034359870.375,1401591322.05394
"65","Carex geyeri",2669,175713046.988652,222831112.776237,2228478603.56234,222502711.340648
"66","Carex nebrascensis",1120,446660376.623094,476639966.221136,4766399662.21136,476639966.221136
"67","Carex siccata",836,876735472.778523,920035069.155996,9082460124.15507,905622248.022805
"68","Carex vallicola",162,343963151.933987,370211289.429218,3702112894.29218,363618189.467663
"69","Castilleja linariifolia",1018,166642172.505239,175842954.676014,1758429546.76014,175775651.275595
"70","Castilleja miniata",2837,584796963.65218,612186123.630234,6121861236.30234,612161286.137462
"71","Ceanothus fendleri",745,155042971.074721,171374805.965348,1713748059.65348,171350831.504449
"72","Cercocarpus intricatus",271,72226552.4679644,90458076.8674382,904580768.674381,90282221.1168114
"73","Cercocarpus ledifolius",15879,167330034.286926,178291975.398741,1782919753.98741,178291975.398741
"74","Chaenactis douglasii",1192,255658456.99999,315639367.369317,3134382639.131,312917371.223518
"75","Chamaechaenactis scaposa",39,6008401.89282136,7303352.88274924,73039173.9786519,7176708.78771169
"76","Chamaesyce fendleri",544,185694515.793557,193992641.484943,1941031184.31147,193506780.495034
"77","Chamaesyce glyptosperma",827,713160367.278298,864712004.478925,8632434206.03484,859741761.375646
"78","Chamerion angustifolium",1306,1629878538.83487,1735031464.41413,17350314644.1413,1733543130.24958
"79","Cheilanthes feei",683,566516347.292188,655151804.034534,6551518040.34534,652066057.766516
"80","Chenopodium capitatum",461,1094588632.74703,1123728713.46106,11237693940.4766,1122570366.00304
"81","Chenopodium fremontii",916,557510436.152176,582422820.535984,5824228205.35984,579774806.071485
"82","Chenopodium leptophyllum",454,656995056.062975,801023131.737781,8010231317.37781,797354681.711965
"83","Chenopodium overi",19,49103042.4632473,87991573.8722901,881242536.495942,86619577.1619252
"84","Chenopodium rubrum",314,1154983466.64326,1180899319.33001,11742024664.6433,1174121871.74391
"85","Chrysothamnus depressus",155,43738286.9836322,45119871.5601864,451198785.774635,45005599.9950455
"86","Chrysothamnus linifolius",25,17187966.5044404,19682477.099803,199121673.92368,19156853.754678
"87","Chrysothamnus viscidiflorus",5136,199435080.840355,200892607.495544,2008926074.95544,200800018.393001
"88","Cirsium clavatum",14,1044687.34300062,2389521.45197305,23895214.5197304,2363414.09527647
"89","Cirsium neomexicanum",477,124505695.232496,134765275.682748,1347661336.22376,134262043.900726
"90","Cirsium scariosum",718,467372914.042907,677609275.171119,6776092751.71119,677609275.171119
