"SYMBOL","SYNONYM_SYMBOL","JOIN_SYMBOL","FULL_NAME","GENUS","SPECIES","FAMILY"
"ACRE3","CEPI3","CEPI3","Centaurea picris Pall. ex Willd.","Centaurea","picris","Asteraceae"
"ACRE3","CERE6","CERE6","Centaurea repens L.","Centaurea","repens","Asteraceae"
"ACRI8",NA,"ACRI8","Achnatherum richardsonii (Link) Barkworth","Achnatherum","richardsonii","Poaceae"
"ACRI8","STRI2","STRI2","Stipa richardsonii Link","Stipa","richardsonii","Poaceae"
"ACRO7",NA,"ACRO7","Achnatherum robustum (Vasey) Barkworth","Achnatherum","robustum","Poaceae"
"ACRO7","STRO3","STRO3","Stipa robusta (Vasey) Scribn.","Stipa","robusta","Poaceae"
"ACRO7","STVA4","STVA4","Stipa vaseyi Scribn.","Stipa","vaseyi","Poaceae"
"ACROP",NA,"ACROP","Acroptilon Cass.","Acroptilon","Cass","Asteraceae"
"ACRU2",NA,"ACRU2","Actaea rubra (Aiton) Willd.","Actaea","rubra","Ranunculaceae"
"ACRUA8",NA,"ACRUA8","Actaea rubra (Aiton) Willd. ssp. arguta (Nutt.) Hultén","Actaea","rubra","Ranunculaceae"
"ACRUA8","ACAR7","ACAR7","Actaea arguta Nutt.","Actaea","arguta","Ranunculaceae"
"ACRUA8","ACARV","ACARV","Actaea arguta Nutt. var. viridiflora (Greene) Tidestr.","Actaea","arguta","Ranunculaceae"
"ACRUA8","ACRUA","ACRUA","Actaea rubra (Aiton) Willd. var. arguta (Nutt.) G. Lawson","Actaea","rubra","Ranunculaceae"
"ACRUA8","ACSPA","ACSPA","Actaea spicata L. var. arguta (Nutt.) Torr.","Actaea","spicata","Ranunculaceae"
"ACSC11",NA,"ACSC11","Achnatherum scribneri (Vasey) Barkworth","Achnatherum","scribneri","Poaceae"
"ACSC11","STSC2","STSC2","Stipa scribneri Vasey","Stipa","scribneri","Poaceae"
"ACSP12",NA,"ACSP12","Achnatherum speciosum (Trin. & Rupr.) Barkworth","Achnatherum","speciosum","Poaceae"
"ACSP12","STSP3","STSP3","Stipa speciosa Trin. & Rupr.","Stipa","speciosa","Poaceae"
"ACTAE",NA,"ACTAE","Actaea L.","Actaea","L","Ranunculaceae"
"ACTH7",NA,"ACTH7","Achnatherum thurberianum (Piper) Barkworth","Achnatherum","thurberianum","Poaceae"
"ACTH7","STTH2","STTH2","Stipa thurberiana Piper","Stipa","thurberiana","Poaceae"
"ACWE3",NA,"ACWE3","Achnatherum webberi (Thurb.) Barkworth","Achnatherum","webberi","Poaceae"
"ACWE3","ORWE","ORWE","Oryzopsis webberi (Thurb.) Benth. ex Vasey","Oryzopsis","webberi","Poaceae"
"ACWE3","STWE","STWE","Stipa webberi (Thurb.) B.L. Johnson","Stipa","webberi","Poaceae"
"ADAL",NA,"ADAL","Adiantum aleuticum (Rupr.) Paris","Adiantum","aleuticum","Pteridaceae"
"ADAL","ADPEA2","ADPEA2","Adiantum pedatum L. ssp. aleuticum (Rupr.) Calder & Roy L. Taylor","Adiantum","pedatum","Pteridaceae"
"ADAL","ADPEC","ADPEC","Adiantum pedatum L. ssp. calderi Cody","Adiantum","pedatum","Pteridaceae"
"ADAL","ADPES","ADPES","Adiantum pedatum L. ssp. subpumilum (W.H. Wagner) Lellinger","Adiantum","pedatum","Pteridaceae"
"ADAL","ADPEA","ADPEA","Adiantum pedatum L. var. aleuticum Rupr.","Adiantum","pedatum","Pteridaceae"
