"SYMBOL","BINOMIAL_NAT","BINOMIAL_ACKER","DURATION","NATIVITY"
"ARHU5","Argythamnia humilis","Argythamnia humilis","Perennial","Native"
"ARME5","Argythamnia mercurialina","Argythamnia mercurialina","Perennial","Native"
"MAPA","Machaeranthera parviflora","Arida parviflora","Annual","Native"
"ARAD","Aristida adscensionis","Aristida adscensionis","Annual","Native"
"ARBA2","Aristida basiramea","Aristida basiramea","Annual","Native"
"ARDI4","Aristida dichotoma","Aristida dichotoma","Annual","Native"
"ARDI5","Aristida divaricata","Aristida divaricata","Perennial","Native"
"ARHA3","Aristida havardii","Aristida havardii","Perennial","Native"
"AROL","Aristida oligantha","Aristida oligantha","Annual","Native"
"ARPU9","Aristida purpurea","Aristida purpurea","Annual, Perennial","Native"
"ARPUF","Aristida purpurea var. fendleriana","Aristida purpurea var. fendleriana","Perennial","Native"
"ARPUL","Aristida purpurea var. longiseta","Aristida purpurea var. longiseta","Perennial","Native"
"ARPUN","Aristida purpurea var. nealleyi","Aristida purpurea var. nealleyi","Perennial","Native"
"ARPUP6","Aristida purpurea var. purpurea","Aristida purpurea var. purpurea","Perennial","Native"
"ARPUW","Aristida purpurea var. wrightii","Aristida purpurea var. wrightii","Annual, Perennial","Native"
"ARMAS","Armeria maritima ssp. sibirica","Armeria maritima ssp. sibirica","Perennial","Native"
"ARRU4","Armoracia rusticana","Armoracia rusticana","Perennial","Introduced"
"ARCH3","Arnica chamissonis","Arnica chamissonis","Perennial","Native"
"ARCO9","Arnica cordifolia","Arnica cordifolia","Perennial","Native"
"ARFU3","Arnica fulgens","Arnica fulgens","Perennial","Native"
"ARGR14","Arnica gracilis","Arnica gracilis","Perennial","Native"
"ARLA8","Arnica latifolia","Arnica latifolia","Perennial","Native"
"ARLO6","Arnica longifolia","Arnica longifolia","Perennial","Native"
"ARMO4","Arnica mollis","Arnica mollis","Perennial","Native"
"ARPA13","Arnica parryi","Arnica parryi","Perennial","Native"
"ARRY","Arnica rydbergii","Arnica rydbergii","Perennial","Native"
"AREL3","Arrhenatherum elatius","Arrhenatherum elatius","Perennial","Introduced"
"ARAB2","Artemisia abrotanum","Artemisia abrotanum","Perennial","Introduced"
"ARAB3","Artemisia absinthium","Artemisia absinthium","Perennial","Introduced"
"ARAN3","Artemisia annua","Artemisia annua","Annual","Introduced"
"ARAR8","Artemisia arbuscula","Artemisia arbuscula","Perennial","Native"
"ARARA","Artemisia arbuscula ssp. arbuscula","Artemisia arbuscula ssp. arbuscula","Perennial","Native"
"ARARL","Artemisia arbuscula ssp. longiloba","Artemisia arbuscula ssp. longiloba","Perennial","Native"
"ARAR9","Artemisia arctica","Artemisia arctica","Perennial","Native"
"ARBIB","Artemisia biennis var. biennis","Artemisia biennis var. biennis","Annual, Biennial","Both"
"ARBI3","Artemisia bigelovii","Artemisia bigelovii","Perennial","Native"
"ARCA12","Artemisia campestris","Artemisia campestris","Biennial, Perennial","Native"
"ARCAC","Artemisia campestris ssp. caudata","Artemisia campestris var. caudata","Perennial, Biennial","Native"
"ARCAS5","Artemisia campestris ssp. borealis var. scouleriana","Artemisia campestris var. pacifica","Biennial, Perennial","Native"
"ARCAB2","Artemisia campestris ssp. borealis","Artemisia campestris var. purshii","Biennial, Perennial","Native"
"ARCA13","Artemisia cana","Artemisia cana","Perennial","Native"
"ARCAC5","Artemisia cana ssp. cana","Artemisia cana ssp. cana","Perennial","Native"
"ARCAV2","Artemisia cana ssp. viscidula","Artemisia cana ssp. viscidula","Perennial","Native"
"ARCA14","Artemisia carruthii","Artemisia carruthii","Perennial","Native"
"ARDR4","Artemisia dracunculus","Artemisia dracunculus","Perennial","Native"
"ARFI2","Artemisia filifolia","Artemisia filifolia","Perennial","Native"
"ARFR3","Artemisia franserioides","Artemisia franserioides","Perennial","Native"
"ARFR4","Artemisia frigida","Artemisia frigida","Perennial","Native"
"ARLO7","Artemisia longifolia","Artemisia longifolia","Perennial","Native"
"ARLU","Artemisia ludoviciana","Artemisia ludoviciana","Perennial","Both"
"ARLUA","Artemisia ludoviciana ssp. albula","Artemisia ludoviciana var. albula","Perennial","Native"
"ARLUI2","Artemisia ludoviciana ssp. incompta","Artemisia ludoviciana var. incompta","Perennial","Native"
