"","National_USDASymbol","FQA_USDASymbol","FQA_USDASymbolOrigin","FQA_Family","FQA_SciName_withAuthority","FQA_SciName_noAuthority","FQA_Genus","FQA_Species","FQA_Trinomial","FQA_C-Value2020","FQA_C-Value2020_Numeric","FQA_NativeStatus","FQA_NameOrigin","National_SciName_noAuthority","Ack_SciName_noAuthority","USDA_Duration"
"2384","PELAE","PELAE","FQA_SciName","Plantaginaceae","Penstemon laricifolius Hook. & Arn. ssp. exilifolius (A. Nelson) D.D. Keck","Penstemon laricifolius ssp. exilifolius","Penstemon","laricifolius","ssp. exilifolius","8",8,"Native","Ackerfield 2015","Penstemon laricifolius ssp. exilifolius","Penstemon laricifolius ssp. exilifolius","Perennial"
"2385","PELEL2","PELEL2","FQA_SciName","Plantaginaceae","Penstemon lentus Pennell var. lentus","Penstemon lentus var. lentus","Penstemon","lentus","var. lentus","6",6,"Native","Ackerfield 2015","Penstemon lentus var. lentus","Penstemon lentus var. lentus","Perennial"
"2386","PELIC","PELIC","FQA_SciName","Plantaginaceae","Penstemon linarioides A. Gray ssp. coloradoensis (A. Nelson) D.D. Keck","Penstemon linarioides ssp. coloradoensis","Penstemon","linarioides","ssp. coloradoensis","6",6,"Native","Ackerfield 2015","Penstemon linarioides ssp. coloradoensis","Penstemon linarioides ssp. coloradoensis","Perennial"
"2387","PEME2","PEME2","FQA_SciName","Plantaginaceae","Penstemon mensarum Pennell","Penstemon mensarum","Penstemon","mensarum",NA,"5",5,"Native","Ackerfield 2015","Penstemon mensarum","Penstemon mensarum","Perennial"
"2388","PEMO3","PEMO3","FQA_SciName","Plantaginaceae","Penstemon moffatii Eastw.","Penstemon moffatii","Penstemon","moffatii",NA,"6",6,"Native","Ackerfield 2015","Penstemon moffatii","Penstemon moffatii","Perennial"
"2389","PEOP","PEOP","FQA_SciName","Plantaginaceae","Penstemon ophianthus Pennell","Penstemon ophianthus","Penstemon","ophianthus",NA,"Not Assigned",NA,"Native","USDA PLANTS","Penstemon ophianthus",NA,"Perennial"
"2390","PEOS","PEOS","FQA_SciName","Plantaginaceae","Penstemon osterhoutii Pennell","Penstemon osterhoutii","Penstemon","osterhoutii",NA,"6",6,"Native","Ackerfield 2015","Penstemon osterhoutii","Penstemon osterhoutii","Perennial"
"2391","PEPA6","PEPA6","FQA_SciName","Plantaginaceae","Penstemon pachyphyllus A. Gray ex Rydb.","Penstemon pachyphyllus","Penstemon","pachyphyllus",NA,"6",6,"Native","Ackerfield 2015","Penstemon pachyphyllus","Penstemon pachyphyllus","Perennial"
"2392","PEPA8","PEPA8","FQA_SciName","Plantaginaceae","Penstemon palmeri A. Gray","Penstemon palmeri","Penstemon","palmeri",NA,"3",3,"Native","Ackerfield 2015","Penstemon palmeri","Penstemon palmeri","Perennial"
"2393","PEPE25","PEPE25","FQA_SciName","Plantaginaceae","Penstemon penlandii W.A. Weber","Penstemon penlandii","Penstemon","penlandii",NA,"9",9,"Native","Ackerfield 2015","Penstemon penlandii","Penstemon penlandii","Perennial"
"2394","PEPRP","PEPRP","FQA_SciName","Plantaginaceae","Penstemon procerus Douglas ex Graham var. procerus","Penstemon procerus var. procerus","Penstemon","procerus","var. procerus","6",6,"Native","Ackerfield 2015","Penstemon procerus var. procerus","Penstemon procerus var. procerus","Perennial"
"2395","PERA2","PERA2","FQA_SciName","Plantaginaceae","Penstemon radicosus A. Nelson","Penstemon radicosus","Penstemon","radicosus",NA,"8",8,"Native","Ackerfield 2015","Penstemon radicosus","Penstemon radicosus","Perennial"
"2396","PERE7","PERE7","FQA_SciName","Plantaginaceae","Penstemon retrorsus Payson ex Pennell","Penstemon retrorsus","Penstemon","retrorsus",NA,"6",6,"Native","Ackerfield 2015","Penstemon retrorsus","Penstemon retrorsus","Perennial"
"2397","PERO10","PERO10","FQA_SciName","Plantaginaceae","Penstemon rostriflorus Kellogg","Penstemon rostriflorus","Penstemon","rostriflorus",NA,"8",8,"Native","Ackerfield 2015","Penstemon rostriflorus","Penstemon rostriflorus","Perennial"
"2398","PERY","PERY","FQA_SciName","Plantaginaceae","Penstemon rydbergii A. Nelson","Penstemon rydbergii","Penstemon","rydbergii",NA,"7",7,"Native","Ackerfield 2015","Penstemon rydbergii","Penstemon rydbergii","Perennial"
"2399","PESA2","PESA2","FQA_SciName","Plantaginaceae","Penstemon saxosorum Pennell","Penstemon saxosorum","Penstemon","saxosorum",NA,"6",6,"Native","Ackerfield 2015","Penstemon saxosorum","Penstemon saxosorum","Perennial"
"2400","PESC5","PESC5","FQA_SciName","Plantaginaceae","Penstemon scariosus Pennell","Penstemon scariosus","Penstemon","scariosus",NA,"7",7,"Native","Ackerfield 2015","Penstemon scariosus","Penstemon scariosus","Perennial"
"2401","PESCA","PESCA","FQA_SciName","Plantaginaceae","Penstemon scariosus Pennell var. albifluvis (England) N.H. Holmgren","Penstemon scariosus var. albifluvis","Penstemon","scariosus","var. albifluvis","7",7,"Native","Ackerfield 2015","Penstemon scariosus var. albifluvis","Penstemon scariosus var. albifluvis","Perennial"
"2402","PESCC","PESCC","FQA_SciName","Plantaginaceae","Penstemon scariosus Pennell var. cyanomontanus Neese","Penstemon scariosus var. cyanomontanus","Penstemon","scariosus","var. cyanomontanus","9",9,"Native","Ackerfield 2015","Penstemon scariosus var. cyanomontanus","Penstemon scariosus var. cyanomontanus","Perennial"
"2403","PESE11","PESE11","FQA_SciName","Plantaginaceae","Penstemon secundiflorus Benth.","Penstemon secundiflorus","Penstemon","secundiflorus",NA,"6",6,"Native","Ackerfield 2015","Penstemon secundiflorus","Penstemon secundiflorus","Perennial"
"2404","PEST2","PEST2","FQA_SciName","Plantaginaceae","Penstemon strictus Benth.","Penstemon strictus","Penstemon","strictus",NA,"5",5,"Native","Ackerfield 2015","Penstemon strictus","Penstemon strictus","Perennial"
"2405","PEST9","PESTS","FQA_SciName","Plantaginaceae","Penstemon strictus Benth. ssp. strictiformis (Rydb.) D.D. Keck","Penstemon strictus ssp. strictiformis","Penstemon","strictus","ssp. strictiformis","7",7,"Native","Ackerfield 2015","Penstemon strictiformis","Penstemon strictus ssp. strictiformis","Perennial"
"2406","PEST2","ZZ_PESTS50","FQA_SciName InventedSymbol","Plantaginaceae","Penstemon strictus Benth. ssp. strictus","Penstemon strictus ssp. strictus","Penstemon","strictus","ssp. strictus","5",5,"Native","Ackerfield 2015","Penstemon strictus","Penstemon strictus ssp. strictus","Perennial"
"2407","PETE9","PETE9","FQA_SciName","Plantaginaceae","Penstemon teucrioides Greene","Penstemon teucrioides","Penstemon","teucrioides",NA,"7",7,"Native","Ackerfield 2015","Penstemon teucrioides","Penstemon teucrioides","Perennial"
"2408","PEUT","PEUT","FQA_SciName","Plantaginaceae","Penstemon utahensis Eastw.","Penstemon utahensis","Penstemon","utahensis",NA,"7",7,"Native","Ackerfield 2015","Penstemon utahensis","Penstemon utahensis","Perennial"
"2409","PEVE9","PEVE9","FQA_SciName","Plantaginaceae","Penstemon versicolor Pennell","Penstemon versicolor","Penstemon","versicolor",NA,"7",7,"Native","Ackerfield 2015","Penstemon versicolor","Penstemon versicolor","Perennial"
"2410","PEVI3","PEVI3","FQA_SciName","Plantaginaceae","Penstemon virens Pennell ex Rydb.","Penstemon virens","Penstemon","virens",NA,"7",7,"Native","Ackerfield 2015","Penstemon virens","Penstemon virens","Perennial"
"2411","PEUN","PEVIA3","FQA_SciName","Plantaginaceae","Penstemon virgatus A. Gray var. asa-grayi (Crosswh.) Dorn","Penstemon virgatus var. asa-grayi","Penstemon","virgatus","var. asa-grayi","6",6,"Native","Ackerfield 2015","Penstemon unilateralis","Penstemon virgatus var. asa-grayi","Perennial"
"2412","PEWA","PEWA","FQA_SciName","Plantaginaceae","Penstemon watsonii A. Gray","Penstemon watsonii","Penstemon","watsonii",NA,"5",5,"Native","Ackerfield 2015","Penstemon watsonii","Penstemon watsonii","Perennial"
"2413","PEWH","PEWH","FQA_SciName","Plantaginaceae","Penstemon whippleanus A. Gray","Penstemon whippleanus","Penstemon","whippleanus",NA,"7",7,"Native","Ackerfield 2015","Penstemon whippleanus","Penstemon whippleanus","Perennial"
"2414","PEYA2","PEYA2","FQA_SciName","Plantaginaceae","Penstemon yampaensis Penl.","Penstemon yampaensis","Penstemon","yampaensis",NA,"6",6,"Native","Ackerfield 2015","Penstemon yampaensis","Penstemon yampaensis","Perennial"
"2415","PERA4","PERA4","FQA_SciName","Rosaceae","Peraphyllum ramosissimum Nutt.","Peraphyllum ramosissimum","Peraphyllum","ramosissimum",NA,"7",7,"Native","Ackerfield 2015","Peraphyllum ramosissimum","Peraphyllum ramosissimum","Perennial"
"2416","PECA10","PECA10","FQA_SciName","Asteraceae","Pericome caudata A. Gray","Pericome caudata","Pericome","caudata",NA,"6",6,"Native","Ackerfield 2015","Pericome caudata","Pericome caudata","Perennial"
"2417","PEGAB","PEGAB","FQA_SciName","Apiaceae","Perideridia gairdneri (Hook. & Arn.) Mathias ssp. borealis T.I. Chuang & Constance","Perideridia gairdneri ssp. borealis","Perideridia","gairdneri","ssp. borealis","5",5,"Native","Ackerfield 2015","Perideridia gairdneri ssp. borealis","Perideridia gairdneri ssp. borealis","Perennial"
"2418","POAME","PEAM8","FQA_SciName","Polygonaceae","Persicaria amphibia (L.) Gray p.p.","Persicaria amphibia","Persicaria","amphibia",NA,"4",4,"Native","Ackerfield 2015","Polygonum amphibium var. emersum","Persicaria amphibia","Perennial"
"2419","POPE2","PEBI4","FQA_SciName","Polygonaceae","Persicaria bicornis (Raf.) Nieuwl.","Persicaria bicornis","Persicaria","bicornis",NA,"4",4,"Native","Ackerfield 2015","Polygonum pensylvanicum","Persicaria bicornis","Annual"
"2420","POHY","PEHY6","FQA_SciName","Polygonaceae","Persicaria hydropiper (L.) Opiz","Persicaria hydropiper","Persicaria","hydropiper",NA,"0",0,"Non-native","Ackerfield 2015","Polygonum hydropiper","Persicaria hydropiper","Annual"
"2421","POLA4","PELA22","FQA_SciName","Polygonaceae","Persicaria lapathifolia (L.) Gray","Persicaria lapathifolia","Persicaria","lapathifolia",NA,"2",2,"Native","Ackerfield 2015","Polygonum lapathifolium","Persicaria lapathifolia","Annual"
"2422","POPE3","PEMA24","FQA_SciName","Polygonaceae","Persicaria maculosa Gray","Persicaria maculosa","Persicaria","maculosa",NA,"0",0,"Non-native","Ackerfield 2015","Polygonum persicaria","Persicaria maculosa","Annual, Perennial"
"2423","POPE2","PEPE19","FQA_SciName","Polygonaceae","Persicaria pensylvanica (L.) Small","Persicaria pensylvanica","Persicaria","pensylvanica",NA,"1",1,"Native","Ackerfield 2015","Polygonum pensylvanicum","Persicaria pensylvanica","Annual"
"2424","POPU5","PEPU18","FQA_SciName","Polygonaceae","Persicaria punctata (Elliot) Small","Persicaria punctata","Persicaria","punctata",NA,"0",0,"Non-native","Ackerfield 2015","Polygonum punctatum","Persicaria punctata","Annual, Perennial"
"2425","POSA5","PESA20","FQA_SciName","Polygonaceae","Persicaria sagittata (L.) Gross.","Persicaria sagittata","Persicaria","sagittata",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Polygonum sagittatum","Persicaria sagittata","Annual, Perennial"
"2426","PEFRS5","PEFRS5","FQA_SciName","Asteraceae","Petasites frigidus (L.) Fr. var. sagittatus (Banks ex Pursh) Cherniawsky","Petasites frigidus var. sagittatus","Petasites","frigidus","var. sagittatus","8",8,"Native","Ackerfield 2015","Petasites frigidus var. sagittatus","Petasites frigidus var. sagittatus","Perennial"
"2427","PEPUP","PEPUP","FQA_SciName","Asteraceae","Petradoria pumila (Nutt.) Greene ssp. pumila","Petradoria pumila ssp. pumila","Petradoria","pumila","ssp. pumila","6",6,"Native","Ackerfield 2015","Petradoria pumila ssp. pumila","Petradoria pumila ssp. pumila","Perennial"
"2428","PECA12","PECA12","FQA_SciName","Rosaceae","Petrophytum caespitosum (Nutt.) Rydb.","Petrophytum caespitosum","Petrophytum","caespitosum",NA,"8",8,"Native","Ackerfield 2015","Petrophytum caespitosum","Petrophytum caespitosum","Perennial"
"2429","PHAL9","PHAL9","FQA_SciName","Hydrophyllaceae","Phacelia alba Rydb.","Phacelia alba","Phacelia","alba",NA,"2",2,"Native","Ackerfield 2015","Phacelia alba","Phacelia alba","Annual"
"2430","PHBA3","PHBA3","FQA_SciName","Hydrophyllaceae","Phacelia bakeri (Brand) J.F. Macbr.","Phacelia bakeri","Phacelia","bakeri",NA,"7",7,"Native","Ackerfield 2015","Phacelia bakeri","Phacelia bakeri","Annual, Biennial"
"2431","PHCO19","PHCO19","FQA_SciName","Hydrophyllaceae","Phacelia constancei N.D. Atwood","Phacelia constancei","Phacelia","constancei",NA,"7",7,"Native","Ackerfield 2015","Phacelia constancei","Phacelia constancei","Biennial"
"2432","PHCRC","PHCRC","FQA_SciName","Hydrophyllaceae","Phacelia crenulata Torr. ex S. Watson var. corrugata (A. Nelson) Brand","Phacelia crenulata var. corrugata","Phacelia","crenulata","var. corrugata","3",3,"Native","Ackerfield 2015","Phacelia crenulata var. corrugata","Phacelia crenulata var. corrugata","Annual"
"2433","PHDED","PHDED","FQA_SciName","Hydrophyllaceae","Phacelia demissa A. Gray var. demissa","Phacelia demissa var. demissa","Phacelia","demissa","var. demissa","7",7,"Native","Ackerfield 2015","Phacelia demissa var. demissa","Phacelia demissa var. demissa","Annual"
"2434","PHDE2","PHDE2","FQA_SciName","Hydrophyllaceae","Phacelia denticulata Osterh.","Phacelia denticulata","Phacelia","denticulata",NA,"6",6,"Native","Ackerfield 2015","Phacelia denticulata","Phacelia denticulata","Annual"
"2435","PHGLD","PHDE22","FQA_SciName","Hydrophyllaceae","Phacelia deserta A. Nelson","Phacelia deserta","Phacelia","deserta",NA,"7",7,"Native","Ackerfield 2015","Phacelia glandulosa var. deserta","Phacelia deserta","Annual, Biennial"
"2436","PHFO2","PHFO2","FQA_SciName","Hydrophyllaceae","Phacelia formosula Osterh.","Phacelia formosula","Phacelia","formosula",NA,"8",8,"Native","Ackerfield 2015","Phacelia formosula","Phacelia formosula","Annual"
"2437","PHGI3","PHGI3","FQA_SciName","Hydrophyllaceae","Phacelia gina-glenneae N.D. Atwood & S.L. Welsh","Phacelia gina-glenneae","Phacelia","gina-glenneae",NA,"7",7,"Native","Ackerfield 2015","Phacelia gina-glenneae","Phacelia gina-glenneae","Annual"
"2438","PHGL3","PHGL3","FQA_SciName","Hydrophyllaceae","Phacelia glandulosa Nutt.","Phacelia glandulosa","Phacelia","glandulosa",NA,"6",6,"Native","Ackerfield 2015","Phacelia glandulosa","Phacelia glandulosa","Annual, Biennial"
"2439","PHHA","PHHA","FQA_SciName","Hydrophyllaceae","Phacelia hastata Douglas ex Lehm.","Phacelia hastata","Phacelia","hastata",NA,"5",5,"Native","Ackerfield 2015","Phacelia hastata","Phacelia hastata","Perennial"
"2440","PHHE2","PHHE2","FQA_SciName","Hydrophyllaceae","Phacelia heterophylla Pursh","Phacelia heterophylla","Phacelia","heterophylla",NA,"6",6,"Native","Ackerfield 2015","Phacelia heterophylla","Phacelia heterophylla","Biennial, Perennial"
"2441","PHIN9","PHIN9","FQA_SciName","Hydrophyllaceae","Phacelia incana Brand","Phacelia incana","Phacelia","incana",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Phacelia incana","Phacelia incana","Annual"
"2442","PHINI5","PHINI5","FQA_SciName","Hydrophyllaceae","Phacelia integrifolia Torr. var. integrifolia","Phacelia integrifolia var. integrifolia","Phacelia","integrifolia","var. integrifolia","Not Assigned",NA,"Native","Ackerfield 2015","Phacelia integrifolia var. integrifolia","Phacelia integrifolia var. integrifolia","Annual, Perennial, Biennial"
"2443","PHIV","PHIV","FQA_SciName","Hydrophyllaceae","Phacelia ivesiana Torr.","Phacelia ivesiana","Phacelia","ivesiana",NA,"4",4,"Native","Ackerfield 2015","Phacelia ivesiana","Phacelia ivesiana","Annual"
"2444","PHSC5","PHSC5","FQA_SciName","Hydrophyllaceae","Phacelia scopulina (A. Nelson) J.T. Howell","Phacelia scopulina","Phacelia","scopulina",NA,"7",7,"Native","Ackerfield 2015","Phacelia scopulina","Phacelia scopulina","Annual"
"2445","PHSCS2","PHSCS2","FQA_SciName","Hydrophyllaceae","Phacelia scopulina (A. Nelson) J.T. Howell var. scopulina","Phacelia scopulina var. scopulina","Phacelia","scopulina","var. scopulina","7",7,"Native","Ackerfield 2015","Phacelia scopulina var. scopulina","Phacelia scopulina var. scopulina","Annual"
"2446","PHSCS3","PHSCS3","FQA_SciName","Hydrophyllaceae","Phacelia scopulina (A. Nelson) J.T. Howell var. submutica (J.T. Howell) Halse","Phacelia scopulina var. submutica","Phacelia","scopulina","var. submutica","8",8,"Native","Ackerfield 2015","Phacelia scopulina var. submutica","Phacelia scopulina var. submutica","Annual"
"2447","PHSE","PHSE","FQA_SciName","Hydrophyllaceae","Phacelia sericea (Graham) A. Gray","Phacelia sericea","Phacelia","sericea",NA,"6",6,"Native","Ackerfield 2015","Phacelia sericea","Phacelia sericea","Biennial, Perennial"
"2448","PHSEC","PHSEC","FQA_SciName","Hydrophyllaceae","Phacelia sericea (Graham) A. Gray ssp. ciliosa (Rydb.) G.W. Gillett","Phacelia sericea ssp. ciliosa","Phacelia","sericea","ssp. ciliosa","6",6,"Native","Ackerfield 2015","Phacelia sericea ssp. ciliosa","Phacelia sericea ssp. ciliosa","Biennial, Perennial"
"2449","PHSES","PHSES","FQA_SciName","Hydrophyllaceae","Phacelia sericea (Graham) A. Gray ssp. sericea","Phacelia sericea ssp. sericea","Phacelia","sericea","ssp. sericea","5",5,"Native","Ackerfield 2015","Phacelia sericea ssp. sericea","Phacelia sericea ssp. sericea","Perennial, Biennial"
"2450","PHSP3","PHSP3","FQA_SciName","Hydrophyllaceae","Phacelia splendens Eastw.","Phacelia splendens","Phacelia","splendens",NA,"7",7,"Native","Ackerfield 2015","Phacelia splendens","Phacelia splendens","Annual"
"2451","PHAR3","PHAR3","FQA_SciName","Poaceae","Phalaris arundinacea L.","Phalaris arundinacea","Phalaris","arundinacea",NA,"1",1,"Cryptogenic","Ackerfield 2015","Phalaris arundinacea","Phalaris arundinacea","Perennial"
"2452","PHCA5","PHCA5","FQA_SciName","Poaceae","Phalaris canariensis L.","Phalaris canariensis","Phalaris","canariensis",NA,"0",0,"Non-native","Ackerfield 2015","Phalaris canariensis","Phalaris canariensis","Annual"
"2453","PHCA6","PHCA6","FQA_SciName","Poaceae","Phalaris caroliniana Walter","Phalaris caroliniana","Phalaris","caroliniana",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Phalaris caroliniana","Phalaris caroliniana","Annual"
"2454","PHMI3","PHMI3","FQA_SciName","Poaceae","Phalaris minor Retz.","Phalaris minor","Phalaris","minor",NA,"0",0,"Non-native","Ackerfield 2015","Phalaris minor","Phalaris minor","Annual"
"2455","PHCO24","PHCO24","FQA_SciName","Thelypteridaceae","Phegopteris connectilis (Michx.) Watt","Phegopteris connectilis","Phegopteris","connectilis",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Phegopteris connectilis","Phegopteris connectilis","Perennial"
"2456","PHCA48","PHCA48","FQA_SciName","Montiaceae","Phemeranthus calycinus (Engelm.) Kiger","Phemeranthus calycinus","Phemeranthus","calycinus",NA,"7",7,"Native","Ackerfield 2015","Phemeranthus calycinus","Phemeranthus calycinus","Perennial"
"2457","PHPA29","PHPA29","FQA_SciName","Montiaceae","Phemeranthus parviflorus (Nutt.) Kiger","Phemeranthus parviflorus","Phemeranthus","parviflorus",NA,"6",6,"Native","Ackerfield 2015","Phemeranthus parviflorus","Phemeranthus parviflorus","Perennial"
"2458","PHMI4","PHMI4","FQA_SciName","Hydrangeaceae","Philadelphus microphyllus A. Gray","Philadelphus microphyllus","Philadelphus","microphyllus",NA,"7",7,"Native","Ackerfield 2015","Philadelphus microphyllus","Philadelphus microphyllus","Perennial"
"2459","PHAL","PHAL","FQA_SciName","Poaceae","Phippsia algida (Sol.) R. Br.","Phippsia algida","Phippsia","algida",NA,"9",9,"Native","Ackerfield 2015","Phippsia algida","Phippsia algida","Perennial"
"2460","PHAL2","PHAL2","FQA_SciName","Poaceae","Phleum alpinum L.","Phleum alpinum","Phleum","alpinum",NA,"6",6,"Native","Ackerfield 2015","Phleum alpinum","Phleum alpinum","Perennial"
"2461","PHPR3","PHPR3","FQA_SciName","Poaceae","Phleum pratense L.","Phleum pratense","Phleum","pratense",NA,"0",0,"Non-native","Ackerfield 2015","Phleum pratense","Phleum pratense","Perennial"
"2462","PHAN4","PHAN4","FQA_SciName","Polemoniaceae","Phlox andicola E.E. Nelson","Phlox andicola","Phlox","andicola",NA,"6",6,"Native","Ackerfield 2015","Phlox andicola","Phlox andicola","Perennial"
"2463","PHAU3","PHAU3","FQA_SciName","Polemoniaceae","Phlox austromontana Coville","Phlox austromontana","Phlox","austromontana",NA,"6",6,"Native","Ackerfield 2015","Phlox austromontana","Phlox austromontana","Perennial"
"2464","PHCA14","PHCA14","FQA_SciName","Polemoniaceae","Phlox caryophylla Wherry","Phlox caryophylla","Phlox","caryophylla",NA,"4",4,"Native","Ackerfield 2015","Phlox caryophylla","Phlox caryophylla","Perennial"
"2465","PHCO11","PHCO11","FQA_SciName","Polemoniaceae","Phlox condensata (A. Gray) E.E. Nelson","Phlox condensata","Phlox","condensata",NA,"9",9,"Native","Ackerfield 2015","Phlox condensata","Phlox condensata","Perennial"
"2466","PHHO","PHHO","FQA_SciName","Polemoniaceae","Phlox hoodii Richardson","Phlox hoodii","Phlox","hoodii",NA,"5",5,"Native","Ackerfield 2015","Phlox hoodii","Phlox hoodii","Perennial"
"2467","PHKE","PHKE","FQA_SciName","Polemoniaceae","Phlox kelseyi Britton","Phlox kelseyi","Phlox","kelseyi",NA,"9",9,"Native","Ackerfield 2015","Phlox kelseyi","Phlox kelseyi","Perennial"
"2468","PHLO2","PHLO2","FQA_SciName","Polemoniaceae","Phlox longifolia Nutt.","Phlox longifolia","Phlox","longifolia",NA,"6",6,"Native","Ackerfield 2015","Phlox longifolia","Phlox longifolia","Perennial"
"2469","PHMU3","PHMU3","FQA_SciName","Polemoniaceae","Phlox multiflora A. Nelson","Phlox multiflora","Phlox","multiflora",NA,"5",5,"Native","Ackerfield 2015","Phlox multiflora","Phlox multiflora","Perennial"
"2470","PHHOM","PHMU4","FQA_SciName","Polemoniaceae","Phlox muscoides Nutt.","Phlox muscoides","Phlox","muscoides",NA,"6",6,"Native","Ackerfield 2015","Phlox hoodii ssp. muscoides","Phlox muscoides","Perennial"
"2471","PHPU5","PHPU5","FQA_SciName","Polemoniaceae","Phlox pulvinata (Wherry) Cronquist","Phlox pulvinata","Phlox","pulvinata",NA,"9",9,"Native","Ackerfield 2015","Phlox pulvinata","Phlox pulvinata","Perennial"
"2472","PHJU","PHJU","FQA_SciName","Viscaceae","Phoradendron juniperinum Engelm. ex A. Gray","Phoradendron juniperinum","Phoradendron","juniperinum",NA,"5",5,"Native","Ackerfield 2015","Phoradendron juniperinum","Phoradendron juniperinum","Perennial"
"2473","PHAU7","PHAU7","FQA_SciName","Poaceae","Phragmites australis (Cav.) Trin. ex Steud.","Phragmites australis","Phragmites","australis",NA,"1",1,"Cryptogenic","Ackerfield 2015","Phragmites australis","Phragmites australis","Perennial"
"2474","PHAU6","PHAU6","FQA_SciName","Poaceae","Phragmites australis (Cav.) Trin. ex Steud. ssp. americanus Saltonst., P.M. Peterson & Soreng","Phragmites australis var. americanus","Phragmites","australis","var. americanus","3",3,"Native","Ackerfield 2015","Phragmites australis var. americanus","Phragmites australis","Perennial"
"2475","PHAU7","PHAUA7","FQA_SciName","Poaceae","Phragmites australis (Cav.) Trin. ex Steud. ssp. australis","Phragmites australis var. australis","Phragmites","australis","var. autralis","0",0,"Non-native","Ackerfield 2015","Phragmites australis var. autralis","Phragmites australis","Perennial"
"2476","PHCU3","PHCU3","FQA_SciName","Verbenaceae","Phyla cuneifolia (Torr.) Greene","Phyla cuneifolia","Phyla","cuneifolia",NA,"4",4,"Native","Ackerfield 2015","Phyla cuneifolia","Phyla cuneifolia","Perennial"
"2477","PHLA3","PHLA3","FQA_SciName","Verbenaceae","Phyla lanceolata (Michx.) Greene","Phyla lanceolata","Phyla","lanceolata",NA,"1",1,"Native","Ackerfield 2015","Phyla lanceolata","Phyla lanceolata","Perennial"
"2478","PHHEF","PHFE","FQA_SciName","Solanaceae","Physalis fendleri A. Gray","Physalis fendleri","Physalis","fendleri",NA,"5",5,"Native","Ackerfield 2015","Physalis hederifolia var. fendleri","Physalis fendleri","Perennial"
"2479","PHHEC","PHHEC","FQA_SciName","Solanaceae","Physalis hederifolia A. Gray var. comata (Rydb.) Waterf.","Physalis hederifolia var. comata","Physalis","hederifolia","var. comata","5",5,"Native","Ackerfield 2015","Physalis hederifolia var. comata","Physalis hederifolia var. comata","Perennial"
"2480","PHHE5","PHHE5","FQA_SciName","Solanaceae","Physalis heterophylla Nees","Physalis heterophylla","Physalis","heterophylla",NA,"5",5,"Native","Ackerfield 2015","Physalis heterophylla","Physalis heterophylla","Perennial"
"2481","PHHI8","PHHI8","FQA_SciName","Solanaceae","Physalis hispida (Waterf.) Cronquist","Physalis hispida","Physalis","hispida",NA,"5",5,"Native","Ackerfield 2015","Physalis hispida","Physalis hispida","Perennial"
"2482","PHLO4","PHLO4","FQA_SciName","Solanaceae","Physalis longifolia Nutt.","Physalis longifolia","Physalis","longifolia",NA,"4",4,"Native","Ackerfield 2015","Physalis longifolia","Physalis longifolia","Perennial"
"2483","PHSUN","PHSUN","FQA_SciName","Solanaceae","Physalis subulata Rydb. var. neomexicana (Rydb.) Waterf. ex Kartesz & Gandhi","Physalis subulata var. neomexicana","Physalis","subulata","var. neomexicana","4",4,"Native","Ackerfield 2015","Physalis subulata var. neomexicana","Physalis subulata var. neomexicana","Annual"
"2484","PHVI5","PHVI5","FQA_SciName","Solanaceae","Physalis virginiana Mill.","Physalis virginiana","Physalis","virginiana",NA,"4",4,"Native","Ackerfield 2015","Physalis virginiana","Physalis virginiana","Perennial"
"2485","PHAC4","PHAC4","FQA_SciName","Brassicaceae","Physaria acutifolia Rydb.","Physaria acutifolia","Physaria","acutifolia",NA,"6",6,"Native","Ackerfield 2015","Physaria acutifolia","Physaria acutifolia","Perennial"
"2486","PHAL10","PHAL10","FQA_SciName","Brassicaceae","Physaria alpina Rollins","Physaria alpina","Physaria","alpina",NA,"7",7,"Native","Ackerfield 2015","Physaria alpina","Physaria alpina","Perennial"
"2487","LEAR6","LEAR6","National_SciName","Brassicaceae","Physaria arenosa (Richardson) O'Kane & Al-Shehbaz","Physaria arenosa","Physaria","arenosa",NA,"7",7,"Native","Ackerfield 2015","Lesquerella arenosa","Physaria arenosa","Biennial, Perennial"
"2488","PHBE2","PHBE2","FQA_SciName","Brassicaceae","Physaria bellii G. Mulligan","Physaria bellii","Physaria","bellii",NA,"6",6,"Native","Ackerfield 2015","Physaria bellii","Physaria bellii","Perennial"
"2489","PHBR5","PHBR5","FQA_SciName","Brassicaceae","Physaria brassicoides Rydb.","Physaria brassicoides","Physaria","brassicoides",NA,"7",7,"Native","Ackerfield 2015","Physaria brassicoides","Physaria brassicoides","Perennial"
"2490","LECA9","LECA9","National_SciName","Brassicaceae","Physaria calcicola  (Rollins) O'Kane & Al-Shehbaz","Physaria calcicola","Physaria","calcicola",NA,"8",8,"Native","Ackerfield 2015","Lesquerella calcicola","Physaria calcicola","Perennial"
"2491","LECO10","PHCO4","FQA_SciName","Brassicaceae","Physaria congesta (Rollins) O'Kane & Al-Shehbaz","Physaria congesta","Physaria","congesta",NA,"9",9,"Native","Ackerfield 2015","Lesquerella congesta","Physaria congesta","Perennial"
