"","National_USDASymbol","FQA_USDASymbol","FQA_USDASymbolOrigin","FQA_Family","FQA_SciName_withAuthority","FQA_SciName_noAuthority","FQA_Genus","FQA_Species","FQA_Trinomial","FQA_C-Value2020","FQA_C-Value2020_Numeric","FQA_NativeStatus","FQA_NameOrigin","National_SciName_noAuthority","Ack_SciName_noAuthority","USDA_Duration"
"1865","LIAR3","LIAR3","FQA_SciName","Linaceae","Linum aristatum Engelm.","Linum aristatum","Linum","aristatum",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Linum aristatum","Linum aristatum","Annual"
"1866","LIAU4","LIAU4","FQA_SciName","Linaceae","Linum australe A. Heller","Linum australe","Linum","australe",NA,"5",5,"Native","Ackerfield 2015","Linum australe","Linum australe","Annual"
"1867","LIBE2","LIBE2","FQA_SciName","Linaceae","Linum berlandieri Hook.","Linum berlandieri","Linum","berlandieri",NA,"6",6,"Native","Ackerfield 2015","Linum berlandieri","Linum berlandieri","Annual, Perennial"
"1868","LICO3","LICO3","FQA_SciName","Linaceae","Linum compactum A. Nelson","Linum compactum","Linum","compactum",NA,"8",8,"Native","Ackerfield 2015","Linum compactum","Linum compactum","Annual"
"1869","LIKI2","LIKI2","FQA_SciName","Linaceae","Linum kingii S. Watson","Linum kingii","Linum","kingii",NA,"7",7,"Native","Ackerfield 2015","Linum kingii","Linum kingii","Perennial"
"1870","LILE3","LILE3","FQA_SciName","Linaceae","Linum lewisii Pursh","Linum lewisii","Linum","lewisii",NA,"4",4,"Native","Ackerfield 2015","Linum lewisii","Linum lewisii","Perennial"
"1871","LIPE2","LIPE2","FQA_SciName","Linaceae","Linum perenne L.","Linum perenne","Linum","perenne",NA,"0",0,"Non-native","Ackerfield 2015","Linum perenne","Linum perenne","Perennial"
"1872","LIPR","LIPR","FQA_SciName","Linaceae","Linum pratense (Norton) Small","Linum pratense","Linum","pratense",NA,"5",5,"Native","Ackerfield 2015","Linum pratense","Linum pratense","Annual"
"1873","LIPU4","LIPU4","FQA_SciName","Linaceae","Linum puberulum (Engelm.) A. Heller","Linum puberulum","Linum","puberulum",NA,"6",6,"Native","Ackerfield 2015","Linum puberulum","Linum puberulum","Annual"
"1874","LIRI","LIRI","FQA_SciName","Linaceae","Linum rigidum Pursh","Linum rigidum","Linum","rigidum",NA,"5",5,"Native","Ackerfield 2015","Linum rigidum","Linum rigidum","Annual, Perennial"
"1875","LIAR6","LIAR6","FQA_SciName","Cyperaceae","Lipocarpha aristulata (Coville) G. Tucker","Lipocarpha aristulata","Lipocarpha","aristulata",NA,"10",10,"Native","Ackerfield 2015","Lipocarpha aristulata","Lipocarpha aristulata","Annual"
"1876","LIBO4","LIBO4","FQA_SciName","Orchidaceae","Listera borealis Morong","Listera borealis","Listera","borealis",NA,"9",9,"Native","Ackerfield 2015","Listera borealis","Listera borealis","Perennial"
"1877","LICO5","LICO5","FQA_SciName","Orchidaceae","Listera convallarioides (Sw.) Nutt. ex Elliot","Listera convallarioides","Listera","convallarioides",NA,"10",10,"Native","Ackerfield 2015","Listera convallarioides","Listera convallarioides","Perennial"
"1878","LICON","LICON","FQA_SciName","Orchidaceae","Listera cordata (L.) R. Br. var. nephrophylla (Rydb.) Hultén","Listera cordata var. nephrophylla","Listera","cordata","var. nephrophylla","9",9,"Native","Ackerfield 2015","Listera cordata var. nephrophylla","Listera cordata var. nephrophylla","Perennial"
"1879","LIGL2","LIGL2","FQA_SciName","Saxifragaceae","Lithophragma glabrum Nutt.","Lithophragma glabrum","Lithophragma","glabrum",NA,"7",7,"Native","Ackerfield 2015","Lithophragma glabrum","Lithophragma glabrum","Perennial"
"1880","LIPA5","LIPA5","FQA_SciName","Saxifragaceae","Lithophragma parviflorum (Hook.) Nutt. ex Torr. & A. Gray","Lithophragma parviflorum","Lithophragma","parviflorum",NA,"7",7,"Native","Ackerfield 2015","Lithophragma parviflorum","Lithophragma parviflorum","Perennial"
